Artist Name,Song Name,Album Name,Track Name,Album Art
Aerosmith,Dream on,Aerosmith,aerosmith_dream_on,aerosmith_aerosmith
Aerosmith,Amazing,Get a grip,aerosmith_amazing,aerosmith_get_a_grip
Aerosmith,Crazy,Get a grip,aerosmith_crazy,aerosmith_get_a_grip
Aerosmith,Janie's got a gun,Pump,aerosmith_janies_got_a_gun,aerosmith_pump
Beach Boys,I Get Around,All Summer Long,beach_boys_i_get_around,beach_boys_all_summer_long
Beach Boys,God Only Knows,Pet Sounds,beach_boys_god_only_knows,beach_boys_pet_sound
Beach Boys,Fun Fun Fun,Shut Down Volume 2,beach_boys_fun_fun_fun,beach_boys_shut_down_volume_2
Beach Boys,Good Vibrations,Smiley Smile,beach_boys_good_vibrations,beach_boys_smiley_smile
Beach Boys,Kokomo,Still Cruisin',beach_boys_kokomo,beach_boys_still_cruisin
Beach Boys,Surfin' U.S.A,Surfin' U.S.A,beach_boys_surfin_usa,beach_boys_surfin_usa
Beatles,Come Together,Abbey Road,beatles_come_together,beatles_abbey_road
Beatles,Help!,Help!,beatles_help,beatles_help
Beatles,Eleanor Rigby,Revolver,beatles_elenor_rigby,beatles_revolver
Beatles,A Day In The Life,Sgt. Pepper's Lonely Hearts Club Band,beatles_a_day_in_the_life,beatles_sgt_peppers_lonley_hearts_club_band
Beatles,A Little Help From My Friends,Sgt. Pepper's Lonely Hearts Club Band,beatles_a_little_help_from_my_friends,beatles_sgt_peppers_lonley_hearts_club_band
Beatles,Back In The U.S.S.R.,The Beatles (White Album),beatles_back_in_the_ussr,beatles_the_beatles_white_album
Beatles,Birthday,The Beatles (White Album),beatles_birthday,beatles_the_beatles_white_album
Bon Jovi,Always,Cross Road,bon_jovi_always,bon_jovi_cross_road
Bon Jovi,It's My Life,Crush,bon_jovi_its_my_life,bon_jovi_crush
Bon Jovi,Thank You For Loving Me,Crush,bon_jovi_thank_you_for_loving_me,bon_jovi_crush
Bon Jovi,Have A Nice Day,Have A Nice Day,bon_jovi_have_a_nice_day,bon_jovi_have_a_nice_day
Bon Jovi,Bed Of Roses,Keep The Faith,bon_jovi_bed_of_roses,bon_jovi_keep_the_faith
Bon Jovi,Bad Medicine,New Jersey,bon_jovi_bad_medicine,bon_jovi_new_jersey
Bon Jovi,Livin' On A Prayer,Slippery When Wet,bon_jovi_livin_on_a_prayer,bon_jovi_slippery_when_wet
